id,type,bot_id,max_safety_orders,deal_has_error,from_currency_id,to_currency_id,account_id,active_safety_orders_count,created_at,updated_at,closed_at,finished?,current_active_safety_orders_count,current_active_safety_orders,completed_safety_orders_count,completed_manual_safety_orders_count,cancellable?,panic_sellable?,trailing_enabled,tsl_enabled,stop_loss_timeout_enabled,stop_loss_timeout_in_seconds,active_manual_safety_orders,pair,status,take_profit,base_order_volume,safety_order_volume,safety_order_step_percentage,bought_amount,bought_volume,bought_average_price,sold_amount,sold_volume,sold_average_price,take_profit_type,final_profit,martingale_coefficient,martingale_volume_coefficient,martingale_step_coefficient,stop_loss_percentage,error_message,profit_currency,stop_loss_type,safety_order_volume_type,base_order_volume_type,from_currency,to_currency,current_price,take_profit_price,stop_loss_price,final_profit_percentage,actual_profit_percentage,bot_name,account_name,usd_final_profit,actual_profit,actual_usd_profit,failed_message,reserved_base_coin,reserved_second_coin,trailing_deviation,trailing_max_price,tsl_max_price,strategy
118597672,Deal,1035623,3,False,0,0,29001794,1,2020-05-16T16:30:41.349Z,2020-05-17T03:09:32.494Z,2020-05-17T03:09:32.494Z,True,0,0,3,0,False,False,False,False,False,0,0,BTC_THETA,completed,1.32,0.001,0.0005,0.48,388.0,0.0075415819475,0.000019437066875,388.0,0.00764562148,0.00001970521,total,0.00010404,1.0,3.0,1.9,0.0,,quote_currency,stop_loss,quote_currency,quote_currency,BTC,THETA,0.0,0,,1.36,0,"Berlin (BTC, 1.32%, 25x)",,1.01,0.0001040395325,1.014359431991875,,-0.0001040395325,0.0,0.2,,,long
118588549,Deal,1035623,3,False,0,0,29001794,1,2020-05-16T15:44:04.950Z,2020-05-17T17:39:03.766Z,,False,0,0,3,0,True,True,False,False,False,0,0,BTC_ELF,bought,1.32,0.001,0.0005,0.48,1033.0,0.007513851165,0.000007273815261374636979671,0.0,0.0,0,total,-0.00009401,1.0,3.0,1.9,0.0,,quote_currency,stop_loss,quote_currency,quote_currency,BTC,ELF,7.17e-06,0.00000738,,0,-1.43,"Berlin (BTC, 1.32%, 25x)",,-0.92,-0.000114647775,-1.11778714430625,,0.007513851165,1033.0,0.2,,,long
118570257,Deal,1035623,3,False,0,0,29001794,1,2020-05-16T14:00:07.726Z,2020-05-16T17:08:32.575Z,2020-05-16T17:08:32.574Z,True,0,0,2,0,False,False,False,False,False,0,0,BTC_PERL,completed,1.32,0.001,0.0005,0.48,1946.0,0.003005352325,0.000001544374267728674203494,1946.0,0.003052928585,0.0000015688225,total,0.00004758,1.0,3.0,1.9,0.0,,quote_currency,stop_loss,quote_currency,quote_currency,BTC,PERL,0.0,0,,1.56,0,"Berlin (BTC, 1.32%, 25x)",,0.46,0.00004757626,0.463856640935,,-0.00004757626,0.0,0.2,,,long
118570137,Deal,1035623,3,False,0,0,29001794,1,2020-05-16T13:59:38.553Z,2020-05-16T16:37:03.245Z,2020-05-16T16:37:03.245Z,True,0,0,2,0,False,False,False,False,False,0,0,BTC_CHR,completed,1.32,0.001,0.0005,0.48,1538.0,0.00300633306,0.000001954702899869960988296,1538.0,0.003058324535,0.0000019885075,total,0.00005199,1.0,3.0,1.9,0.0,,quote_currency,stop_loss,quote_currency,quote_currency,BTC,CHR,0.0,0,,1.7,0,"Berlin (BTC, 1.32%, 25x)",,0.51,0.000051991475,0.50690388338125,,-0.000051991475,0.0,0.2,,,long
118563767,Deal,1035623,3,False,0,0,29001794,1,2020-05-16T13:22:39.503Z,2020-05-17T00:53:27.408Z,,False,0,0,3,0,True,True,False,False,False,0,0,BTC_NANO,bought,1.32,0.001,0.0005,0.48,94.42,0.00750650065625,0.000079501171957742003812751535691591,0.0,0.0,0,total,-0.00008308,1.0,3.0,1.9,0.0,,quote_currency,stop_loss,quote_currency,quote_currency,BTC,NANO,7.66e-05,0.0000807,,0,-3.65,"Berlin (BTC, 1.32%, 25x)",,-0.81,-0.00028116122825,-2.7412516851304375,,0.00750650065625,94.42,0.2,,,long
118559991,Deal,1035623,3,False,0,0,29001794,1,2020-05-16T13:01:37.472Z,2020-05-16T13:05:38.006Z,2020-05-16T13:05:38.005Z,True,0,0,0,0,False,False,False,False,False,0,0,BTC_NAV,completed,1.32,0.001,0.0005,0.48,92.0,0.00100723486,0.000010948205,92.0,0.00102135341,0.0000111016675,total,0.00001412,1.0,3.0,1.9,0.0,,quote_currency,stop_loss,quote_currency,quote_currency,BTC,NAV,0.0,0,,1.38,0,"Berlin (BTC, 1.32%, 25x)",,0.14,0.00001411855,0.1376523328625,,-0.00001411855,0.0,0.2,,,long
118540473,Deal,1035623,3,False,0,0,29001794,1,2020-05-16T11:10:11.398Z,2020-05-16T13:07:18.997Z,,False,0,0,3,0,True,True,False,False,False,0,0,BTC_ARPA,bought,1.32,0.001,0.0005,0.48,6352.0,0.0075082769875,0.000001182033530777707808564,0.0,0.0,0,total,-0.00008387,1.0,3.0,1.9,0.0,,quote_currency,stop_loss,quote_currency,quote_currency,BTC,ARPA,1.12e-06,0.0000012,,0,-5.25,"Berlin (BTC, 1.32%, 25x)",,-0.82,-0.0004011512275,-3.911124180318125,,0.0075082769875,6352.0,0.2,,,long
118535878,Deal,1035623,3,False,0,0,29001794,1,2020-05-16T10:47:11.346Z,2020-05-16T12:06:39.236Z,2020-05-16T12:06:39.236Z,True,0,0,1,0,False,False,False,False,False,0,0,BTC_STX,completed,1.32,0.001,0.0005,0.48,131.0,0.0015198490325,0.000011601901011450381679389,131.0,0.0015407135975,0.0000117611725,total,0.00002086,1.0,3.0,1.9,0.0,,quote_currency,stop_loss,quote_currency,quote_currency,BTC,STX,0.0,0,,1.35,0,"Berlin (BTC, 1.32%, 25x)",,0.2,0.000020864565,0.20342429260875,,-0.000020864565,0.0,0.2,,,long
118532493,Deal,1035623,3,False,0,0,29001794,1,2020-05-16T10:25:11.461Z,2020-05-16T19:37:33.896Z,2020-05-16T19:37:33.895Z,True,0,0,2,0,False,False,False,False,False,0,0,BTC_CTSI,completed,1.32,0.001,0.0005,0.48,985.0,0.00300797429,0.00000305378100507614213198,985.0,0.003051209875,0.000003097675,total,0.00004324,1.0,3.0,1.9,0.0,,quote_currency,stop_loss,quote_currency,quote_currency,BTC,CTSI,0.0,0,,1.42,0,"Berlin (BTC, 1.32%, 25x)",,0.42,0.000043235585,0.42153614485375,,-0.000043235585,0.0,0.2,,,long
118529789,Deal,1035623,3,False,0,0,29001794,1,2020-05-16T10:07:54.823Z,2020-05-16T15:55:20.272Z,2020-05-16T15:55:20.272Z,True,0,0,1,0,False,False,False,False,False,0,0,BTC_ALGO,completed,1.32,0.001,0.0005,0.48,72.0,0.00150664914,0.0000209256825,72.0,0.00152741358,0.0000212140775,total,0.00002076,1.0,3.0,1.9,0.0,,quote_currency,stop_loss,quote_currency,quote_currency,BTC,ALGO,0.0,0,,1.36,0,"Berlin (BTC, 1.32%, 25x)",,0.2,0.00002076444,0.20244809889,,-0.00002076444,0.0,0.2,,,long
